ItemName_Enc,ItemName,ItemCode,N_Observations,Mean_Sales,MAE,RMSE,MAPE,R2,Accuracy_±0.5,Accuracy_±1.0
705,Медовое Суфле Имбирь с Лимоном (медолюбов) 250мл,79,4,1.25,0.0065355580016802535,0.009843850965171388,0.004367073791692766,0.999859052506437,1.0,1.0
239,ДОП. ШОТ.,1405,44,1.6363636363636365,0.006509211197417236,0.012867874128935364,0.0025158438304874976,0.9998272806522727,1.0,1.0
1068,Пицца Баварская Мясная 15*30 ICE/335 гр,206,6,0.6666666666666666,0.006449576258782177,0.012600058064009094,0.009640018285410196,0.9992855734155262,1.0,1.0
553,"Кольцо песочное с арахисом 0,15",1278,50,1.84,0.006419483105836645,0.015255398845194236,0.0025198522631452156,0.9998018331114391,1.0,1.0
615,"Круассан ""Добрынинский"" с творожной начинкой 0,390 кг",1317,49,1.6734693877551021,0.006381990712073888,0.01421104503630137,0.0025369347212479067,0.9996980752949824,1.0,1.0
1373,Сушка Крошечная 200г,407,27,1.2222222222222223,0.006373801883585102,0.014992930928888782,0.0030599895827883796,0.9997063253837918,1.0,1.0
281,"Добрынинская птичка с черносмор. джемом в уп. 0,21",825,37,1.6216216216216217,0.006372504547317972,0.012260462874008615,0.002720925812059051,0.9998397300292894,1.0,1.0
1339,"Сок IL Primo Апельсин восстановленный 200 мл, ст.",799,20,1.3,0.006264468914338362,0.014105359476372403,0.0027550017057644833,0.9998355692843325,1.0,1.0
1036,"Пирожное ""Медовик"" 0,18",995,36,1.6944444444444444,0.006250395320163172,0.01011692378046533,0.0028345149921656368,0.9998297196633805,1.0,1.0
789,Н-р конф BUSHERON GOURMET с миндалем 180г,1357,6,1.0,0.006246083842147612,0.012767095390840295,0.004211021937953618,0.9995110038258436,1.0,1.0
204,"Горячий шоколад 0,9",833,30,1.7666666666666666,0.006223514975729546,0.013885554889196693,0.0022935489316709945,0.9998364488490831,1.0,1.0
676,Мармелад жевательный Very jelly Кислые пончики 190г,79,5,1.0,0.006160322534987354,0.012891102193916544,0.004080046841064139,0.999584548710565,1.0,1.0
974,Печенье злаковое Демидовское с цукатами 250 г,1508,47,1.4893617021276595,0.006133919219107082,0.013589618242783374,0.0025951115988847623,0.9998322561298183,1.0,1.0
967,Печенье Туиль с апельсином и морковью 160г,678,49,1.4489795918367347,0.006085253387466669,0.014160565242844826,0.0024207630389846612,0.9998557662130616,1.0,1.0
654,МАСЛО АЛТАЙСКОЕ 82% 200 г БЗМЖ,1302,8,0.875,0.006058854387472583,0.013643250548808985,0.0036965694369422318,0.9997834027222835,1.0,1.0
67,"Белые ночи 0,9",849,43,1.5116279069767442,0.005980815342272386,0.016123101443239314,0.002329751017601971,0.9997114911849487,1.0,1.0
1756,"Шоколадные конфеты ""Varenye"" с начинкой из малины 115гр",1048,6,1.1666666666666667,0.005971874472064061,0.010977085304541723,0.0038015412302795926,0.9991324259071611,1.0,1.0
1704,Шоколад Кр.Октябрь Аленка 90 г.,1620,21,1.5238095238095237,0.00596929672207956,0.012257869133907709,0.0022988914384019904,0.9997929293379204,1.0,1.0
1528,"Травяной чай Таежный дар, 50 г",79,5,1.0,0.005941053606966839,0.011687071645543137,0.0037717238620902094,0.9996585308908799,1.0,1.0
1701,Шоколад Коммунарка горький с пюре из черной смородины 200 г,496,18,1.2777777777777777,0.005895234886223889,0.010860581062154968,0.0032773352829363247,0.9998171458392034,1.0,1.0
23,"Абрикосовый аромат 0,4кг",55,45,1.6888888888888889,0.005851415166479774,0.013722985525013182,0.0023376325892469295,0.9998359084889276,1.0,1.0
1052,Пирожное ЧИЗКЕЙК 40Г,1081,20,1.3,0.005725733421031374,0.01439088671552223,0.0033994587860662917,0.9998419102133901,1.0,1.0
1055,Пирожные разные(корзиночки) 0.3,61,53,1.849056603773585,0.005722218941297575,0.01033158358918209,0.002461669179091696,0.9999126857282866,1.0,1.0
1738,"Шоколадное драже ""Клубника в шоколаде"" мол. шок. 100гр.",79,18,1.2777777777777777,0.005720891868221788,0.012555161676860362,0.002505854338367801,0.999818246279526,1.0,1.0
1269,Свечи для торта с подставкой набор 12шт.,79,7,1.1428571428571428,0.005698837987597736,0.010458590358621763,0.0033249910528482993,0.9997320138248909,1.0,1.0
636,Леденцы 3D Животные 30 гр Арт Л.70,1497,14,1.7142857142857142,0.005687005083750148,0.011793600293358174,0.002458955150847693,0.999906638885122,1.0,1.0
1583,Халва Дружба с арахисом 220г,848,30,1.1666666666666667,0.0056669790024979514,0.012723592275391781,0.0029804322023575867,0.9997326590452269,1.0,1.0
957,"Печенье  ""Бакинское курабье"" 400г",73,60,1.25,0.005651268990350012,0.014593951520824726,0.002950346881508813,0.9997506535559116,1.0,1.0
839,"Напиток Сенежская лимон-мята негазированный 0,44 л",746,30,1.4,0.005600229385421432,0.009300816268463775,0.002832355108189648,0.9998881398492331,1.0,1.0
390,Йогурт термостатный Вишня-Брусника 160 г БЗМЖ,79,41,0.9512195121951219,0.0055375534165592825,0.013219241248933353,0.0034413036931083495,0.9998439150062747,1.0,1.0
54,Батончик Туррон с миндалем и кунжутом 50г,1160,41,1.5365853658536586,0.005537522065269287,0.013132039258036769,0.0022136144376466715,0.9997803869583481,1.0,1.0
340,Зефир со вкусом ванили глазированный  185г,875,6,1.0,0.005532192884509886,0.012743394706953853,0.003504294683118725,0.9995128176740283,1.0,1.0
188,"Восторг 0,9",831,32,1.5625,0.005506956267038211,0.009690218549939957,0.002744969351371135,0.9998838720487938,1.0,1.0
1368,Суфле йогуртовое с персиком и маракуйей 140 г БЗМЖ,1326,60,0.5166666666666667,0.005450550203199247,0.02133425424857758,0.010636836474033661,0.9991720356464706,1.0,1.0
947,"Пахлава Турецкая  ""Ассорти"" 450 г",1501,22,1.1818181818181819,0.0054200497577643605,0.012693697624529078,0.002695784877374395,0.9998700218327644,1.0,1.0
38,БАУРСАК Бахетле 250 г,79,35,1.1142857142857143,0.005354796971014861,0.009949454813816263,0.0033811393375225295,0.999912380944662,1.0,1.0
1581,Фунчоза с курицей 250 г,1060,11,0.45454545454545453,0.005346986043021298,0.01657206568557445,0.014385254372959677,0.9993609492943937,1.0,1.0
17,"Amidis, Финики с косточкой ""Иранские"" сушены, 113 г.",248,13,1.1538461538461537,0.0053112021476837265,0.016758644324496925,0.002216613852128688,0.9990111663547593,1.0,1.0
767,"Морс облепиховый с клюквой VI NATURE ПЭТ 0,5 л",538,18,1.3888888888888888,0.005286353401440864,0.014505694503188855,0.0023208294809116715,0.9995424529123595,1.0,1.0
283,"Добрынинская сказка 1,0",137,54,1.8333333333333333,0.005262843097896759,0.009939957247470991,0.0023384672660180356,0.9999328886980579,1.0,1.0
1041,"Пирожное «Графские развалины» 0,045",1226,41,1.6585365853658536,0.005227135313217028,0.010698394927583028,0.0024236525331930306,0.9998275986071518,1.0,1.0
1316,"Слоен.труб.с белк.кр. и клюкв. дж. в уп. 0,105",860,29,1.5172413793103448,0.005224743403181809,0.009904510827845617,0.002291769276154474,0.9998133449309605,1.0,1.0
863,"Наполеон с зав. кр.""Патиссьер"" упак.0,27",1285,44,1.6590909090909092,0.005221877770719638,0.0110644836372529,0.0022307803313087304,0.9998410392104387,1.0,1.0
832,"Напиток STARBAR CRAFT 0,33л черника,лимона,лаванда",369,20,1.35,0.00520991110501382,0.0093096033995217,0.002668936445022635,0.9998356991176183,1.0,1.0
184,Вост.слад. АССОРТИ ФИСТАШКИ 1кг,79,16,1.1875,0.005144293594310508,0.011354987739063911,0.0028324371810308745,0.9999080569606744,1.0,1.0
170,"Вода Боржоми 0,5 стекло",79,30,1.2666666666666666,0.005117389510298399,0.011978548040761284,0.0025906830716286677,0.9998455298422867,1.0,1.0
72,"Бенто Клубника 0,27",341,21,1.619047619047619,0.00502147333468116,0.011541025970908267,0.0018626335554045494,0.9998879024452607,1.0,1.0
965,Печенье Туиль Безе Ореховое 80г ПЭТ,1430,58,1.4482758620689655,0.004990751996810369,0.011978466305094958,0.002324037025949171,0.9998816963197317,1.0,1.0
151,Вацлавский 0.45,9,43,1.697674418604651,0.004972745025499032,0.008705008445778475,0.00240675638348003,0.9999243455771577,1.0,1.0
