Номенклатура,RMSE,MAE,MAPE,wMAPE,R2
"Блинчики «Добрынинские» 0,4",18.235681020721454,2.8646452362056314,73.57865631309602,49.58039831894362,0.13417927158356513
"Блинчики «Добрынинские» с бруснично - ябл. нач. 0,24",0.6702948016717709,0.5952803268296769,36.83044921496681,38.64100367140008,0.07651769524791563
"Блинчики «Добрынинские» с вареной сгущенкой 0,24",2.161415434981874,1.0449086320015828,54.62033632291528,48.762402826740534,0.1976563915597589
"Блинчики «Добрынинские» с мясной начинкой 0,24",2.115381124488382,1.0067778900797664,49.20521604577921,39.726403685050485,0.27325557923355137
"Блинчики «Добрынинские» с творогом и вишн. нач. 0,24",1.1874159668796158,0.7846716894515585,45.0801515995538,42.649992109234994,0.08472412792798156
Блинчики Неженка  450 гр,0.19359215112503267,0.27515090671542275,18.78306402990222,22.92924222628523,0.3400267575282979
Блинчики Неженка  450 гр БЗМЖ,0.6609864222314459,0.42316791374384116,22.395895393587253,31.73759353078809,0.08478803075645946
Блинчики печеночные с творожным сыром 200г,0.21048631594959488,0.2824253242815252,19.269271989692736,23.535443690127103,0.07138390022237562
Блинчики с ветчиной и сыром 280г (нет цены),0.4034675309402186,0.489316248826573,30.84838599913642,29.61650979739784,0.33162529060320767
Блинчики с красной рыбой и творож. сыром 150г (нет цены),0.14570840859195677,0.2416758075492576,16.565874997648592,20.07768247332294,0.2686992780479416
Блинчики с курицей 140г (нет цены),0.5340683682713774,0.5445970307558736,30.55058662392096,32.675821845352424,0.03867693711152076
Блинчики с курицей 210г,0.3447768170828108,0.3976104547374114,25.48577389242054,29.01481696732462,0.13776226534007185
Блинчики с курицей в сливочном соусе 160г,0.20539685455902315,0.3424870212745799,24.974592526589205,26.221662566335024,0.24937922709860794
Блинчики с мясом 140г (нет цены),0.5173748193433064,0.5272693119408742,31.403509134422336,30.75737652988433,-0.05630692282591743
Блинчики с мясом 210г,0.42338816715724764,0.4523081860628294,28.32313575371101,32.226958256976594,0.061672472650819876
Блинчики с творогом 140г (нет цены),0.973461379401619,0.6979771464776736,36.13455040561572,40.26791229678886,-0.12901448641940338
Блинчики с творогом 210г,0.331596840124926,0.43210854757064004,28.568528534584274,29.983042076330126,0.13600462693219917
Блинчики с творогом и вишней 280г БЗМЖ (нет цены),0.3679726851731806,0.4163607019558057,27.521388849099075,30.774486666298685,0.11674330552284695
Блинчики с фаршем мясным 260 гр.,0.17513273787280073,0.3223694222348255,22.47837358562066,24.73997891569591,0.3556771907314865
Блинчики тыквенные с рикоттой и карамелизированными яблоками 243г,0.18485344849729005,0.3104945435290903,22.530226354155847,25.40409901601648,-0.06950923773432116
Блины - жюльен 210г,0.4461172894754905,0.47426786753426187,30.380910150333417,26.006078551455293,0.1879166338283762
Борщ Московский 300г,0.20308541720781703,0.24295122141529138,16.74698632075195,21.079591269856163,0.05108679556991791
Борщ с говядиной 300гр (нет цены),0.18548256568588312,0.2935961226904688,21.28477776233539,24.75418289351012,0.06295829520984209
Борщ со свежей капустой и мясом 250г,0.2843566808221444,0.30411220209998735,20.71440763415241,26.066760179998916,-0.13742672328857752
Брауни  90 г,4.780583443119919,1.5084445836963423,62.37273698203123,50.788242422325524,0.03709209830243132
"Брауни 0,22 кг",0.323543162209767,0.4188540548602044,29.517164652702267,33.067425383700346,0.016253898686519497
Брускетта из вяленых томатов классическая 190 г,0.08694253593332225,0.1824937569576569,14.349427070673984,16.845577565322177,-0.13815683403621892
Брускетта из вяленых томатов с каперсами 190 г,0.003174230213513612,0.03636404367336453,3.636404367336453,3.636404367336453,0.0
Брускетта из вяленых томатов с орехом кешью 190 г,0.005307521542222796,0.0460275845127919,4.602758451279191,4.602758451279191,0.0
Брусника протертая с сахаром 200г,0.10781743444097963,0.25511886294594294,21.77450550221078,23.38589577004477,-0.3045909567358538
Буженина из свинины по-домашнему 150г (нет цены),0.5934344310202754,0.5226298376220693,44.58091388883474,36.6757780787417,0.013484622791251955
Буженина парная весовая,0.019537718122327446,0.10070750142919849,30.418498121578253,31.09688725115816,-0.34859974062066423
"Букет 2,0",0.07688132566519648,0.11047134860985654,8.406871713570412,10.512596077389572,-0.17895988828435638
"Булочка ""Французская""55 гр",2.1325696612090295,0.9150459407866253,41.062065707949564,39.784606121157616,0.0350363523941043
Булочка Улитка немецкая с творогом и помадкой 110 гр,6.115306578091729,1.6867226876093822,63.13377009900807,47.45953228396386,0.1614894417150602
Булочка витая с шоколадом и корицей 105г,6.950520481740869,2.0494777499989656,66.71627887256722,45.719119038438464,0.30312497315879006
Булочка картофельная 80 г,4.3096621510842015,1.3057886511684362,52.61185750594046,50.45092515878049,-0.04487614233501169
"Булочка с маком глазир. 0,13",4.093060408951944,1.6615644812086245,65.6738121448234,47.929744650248786,0.1673249620124888
Бургер с индейкой 170г,0.2724945273084862,0.39799983034567565,28.714392969095236,29.84998727592567,0.23360914194488236
Буррито с куриным мясом 180г(в тортилье),0.569604916785825,0.551819273397414,33.79861862089015,34.85174358299457,0.13659886297727575
Бутерброд с индейкой и творожным сыром 170гр. (хлеб мультизерновой),1.117932971205441,0.7098257756407015,27.572775365522794,23.71746411431052,0.15292566030868449
Бутерброд с тунцом 200гр. (хлеб темный),0.866062876583397,0.6733834307903366,29.033171321520463,23.4587210225205,0.23648472173444912
ВОК гречневая лапша  с курицей 300гр,0.38021880569608507,0.4679382488382031,29.959317097154443,28.672686816066367,0.2217816558814083
"Вареники ""Добрынинские""  с вишней 450 гр",0.08224021130434694,0.15021571540040568,11.165309914564894,13.9088625370746,-0.11739417533080121
"Вареники ""Добрынинские"" с картофелем и грибами 450 гр",0.10241435349000037,0.20215882504782884,14.675703519806877,17.78997660420894,0.13037636685683862
"Вареники ""Добрынинские"" с картофелем и луком 450 гр",0.12731962515994738,0.24173262769786724,18.00905222988039,21.151604923563383,-0.039776938806237006
"Вареники ""Добрынинские"" с творогом 450 гр БЗМЖ",0.13816817150205665,0.26678953493390256,19.154893171706405,22.410320934447814,0.10393877011166208
Вареники на пару с индейкой и капустой 230г,0.5994267602714352,0.5802407004112102,36.359102469663355,34.09129337727585,0.09688610315970392
Вареники с картофелем и грибами 450гр,0.10598402083727006,0.23074689432848328,18.115702835182102,20.645774755706398,-0.02097940073236826
